experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social,timeout,0,19.112,297.78,21,23,8,0.055,0.9514
2,social,succeeded,0,36.556,292.73,11,13,6,0.043,0.6685
